"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"67","RT @seanfeucht: “Children don’t do what we say, they do what we do.”

(Last night, my kids rallied to pray over my baby whose been perpetua…",FALSE,0,NA,2019-03-08 18:22:25,FALSE,NA,"1104084973450117121",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Nifemi_Adesina",526,TRUE,FALSE,NA,NA
"68","RT @seanfeucht: “Children don’t do what we say, they do what we do.”

(Last night, my kids rallied to pray over my baby whose been perpetua…",FALSE,0,NA,2019-03-08 18:15:13,FALSE,NA,"1104083160864882689",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_jordan_kierre",526,TRUE,FALSE,NA,NA
"69","RT @seanfeucht: “Children don’t do what we say, they do what we do.”

(Last night, my kids rallied to pray over my baby whose been perpetua…",FALSE,0,NA,2019-03-08 18:09:01,FALSE,NA,"1104081604165681152",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","shegs442",526,TRUE,FALSE,NA,NA
"70","RT @AngusReid: What comes next as SNC “ he said, she said” winds down? The polls. The ones that I believe, including my own, put the CPC ab…",FALSE,0,NA,2019-03-08 18:07:55,FALSE,NA,"1104081323625406465",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","rickshannon4",74,TRUE,FALSE,NA,NA
"71","RT @AngusReid: What comes next as SNC “ he said, she said” winds down? The polls. The ones that I believe, including my own, put the CPC ab…",FALSE,0,NA,2019-03-08 17:58:50,FALSE,NA,"1104079039877316608",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JLCWood2017",74,TRUE,FALSE,NA,NA
"72","Cw sick

Weird side effect from my flu thingy I had where I was in pain with a cough is that when I lay down on my… https://t.co/MkIDUOPfqx",FALSE,0,NA,2019-03-08 17:56:58,TRUE,NA,"1104078570396082176",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ally_Krasowski",0,FALSE,FALSE,NA,NA
"73","RT @AngusReid: What comes next as SNC “ he said, she said” winds down? The polls. The ones that I believe, including my own, put the CPC ab…",FALSE,0,NA,2019-03-08 17:56:48,FALSE,NA,"1104078527836545024",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","lbastura",74,TRUE,FALSE,NA,NA
"74","RT @AngusReid: What comes next as SNC “ he said, she said” winds down? The polls. The ones that I believe, including my own, put the CPC ab…",FALSE,0,NA,2019-03-08 17:49:51,FALSE,NA,"1104076777889030144",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ACraftBeerLover",74,TRUE,FALSE,NA,NA
"75","RT @seanfeucht: “Children don’t do what we say, they do what we do.”

(Last night, my kids rallied to pray over my baby whose been perpetua…",FALSE,0,NA,2019-03-08 17:47:52,FALSE,NA,"1104076280356659200",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","leh_Jude",526,TRUE,FALSE,NA,NA
"76","RT @AngusReid: What comes next as SNC “ he said, she said” winds down? The polls. The ones that I believe, including my own, put the CPC ab…",FALSE,0,NA,2019-03-08 17:45:25,FALSE,NA,"1104075661394698240",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RGAME2",74,TRUE,FALSE,NA,NA
